busca_alvo,loja,motivo_exclusao,titulo_ou_nota,url
Berserk Vol1 Ed Luxo,shopee,kit/lote,1 ao 16 volumes,https://shopee.com.br/Berserk-1-ao-16-volumes-(Edi%C3%A7%C3%A3o-de-Luxo)-Panini-i.993054850.22296242640
Berserk Vol1 Ed Luxo,olx,kit/lote,Lote vols 1-19 + 21 23 25 38 por 700 (679 pix),https://rj.olx.com.br/rio-de-janeiro-e-regiao/livros-e-revistas/berserk-edicao-de-luxo-1-19-21-23-25-e-38-1459696207
Berserk Vol1 Ed Luxo,olx,kit/lote,Lote 1 ao 14 por 330,https://es.olx.com.br/norte-do-espirito-santo/livros-e-revistas/berserk-edicao-de-luxo-1-ao-14-1470395342
Berserk Vol1 Ed Luxo,olx,kit/lote,Colecao 1-40 + Guia Oficial,https://pe.olx.com.br/grande-recife/livros-e-revistas/colecao-berserk-panini-1-40-guia-oficial-15-volumes-lacrados-1491417167
Berserk Vol1 Ed Luxo,olx,kit/lote,Lote 1 ao 17,https://sp.olx.com.br/regiao-de-presidente-prudente/livros-e-revistas/manga-berserk-1-ao-17-edicao-de-luxo-1440209705
Berserk Vol1 Ed Luxo,enjoei,outro volume,Vol 4,https://www.enjoei.com.br/p/berserk-vol-4-edicao-de-luxo-99463082
Berserk Vol1 Ed Luxo,enjoei,kit/lote,Cap 1 e Cap 24,https://www.enjoei.com.br/p/berserk-cap-1-e-cap-24-edicao-de-luxo-108574800
Berserk Vol1 Ed Luxo,enjoei,anuncio multi-volume,Varios volumes valor avulso por volume,https://www.enjoei.com.br/p/berserk-edicao-luxo-mangas-panini-varios-volumes-novos-valor-avulso-ref-a-cada-volume-15363305
Berserk Vol1 Ed Luxo,amazon,outro volume,Vols 2 (31.43) e 3 (31.99),https://www.amazon.com.br/Rev-Berserk-Ed-Luxo-Vol-002/dp/8542601742
Manual Dir Penal PG Sanches,amazon,outro livro (Parte Especial),Parte Especial,https://www.amazon.com.br/Manual-Direito-Penal-Especial-Edi%C3%A7%C3%A3o/dp/8544241336
Manual Dir Penal PG Sanches,amazon,outro livro (obra combinada),Volume Unico Parte Geral e Especial 4a ed 2025,https://www.amazon.com.br/Manual-Direito-Penal-%C3%9Anico-juspodivm/dp/8544257283
Manual Dir Penal PG Sanches,mercadolivre,outro livro (Parte Especial),Parte Especial,https://www.mercadolivre.com.br/manual-de-direito-penal--parte-especial--rogerio-sanches/up/MLBU1467853763
Manual Dir Penal PG Sanches,mercadolivre,PDF/material digital,rogerio sanches pdf parte geral,https://lista.mercadolivre.com.br/rogerio-sanches-pdf-parte-geral
Manual Dir Penal PG Sanches,olx,outro livro (Parte Especial),Parte Especial VU Londrina,https://pr.olx.com.br/regiao-de-londrina/livros-e-revistas/manual-de-direito-penal-parte-especial-v-u-rogerio-sanches-cunha-1481326804
Manual Dir Penal PG Sanches,olx,kit provavel (geral+especial),ed 2020 both general and special parts,https://df.olx.com.br/distrito-federal-e-regiao/livros-e-revistas/manual-direito-penal-2020-rogerio-sanchez-1474045114
Manual Dir Penal PG Sanches,enjoei,outro autor,Manual de Direito Penal Brasileiro (Zaffaroni/Pierangeli),https://www.enjoei.com.br/p/manual-de-direito-penal-brasileiro-parte-geral-124698980
Manual Dir Penal PG Sanches,enjoei,outro autor,Juarez Cirino dos Santos,https://www.enjoei.com.br/p/livro-manual-de-direito-penal-parte-geral-juarez-cirino-dos-santos-65172010
Manual Dir Penal PG Sanches,olx,outro autor,Mirabete / Greco / Estefam (ids 1246037221 1400540359 1516070962),
1984 Cia das Letras,olx,kit/combo,1984 + A Revolucao dos Bichos,https://pe.olx.com.br/grande-recife/livros-e-revistas/1984-revolucao-dos-bichos-george-orwell-1458297305
1984 Cia das Letras,shopee,outra edicao (HQ),Edicao em quadrinhos,https://shopee.com.br/Livro-1984-(Edi%C3%A7%C3%A3o-em-quadrinhos)-por-ORWELL-GEORGE-Editora-GRUPO-COMPANHIA-DAS-LETRAS-i.449115873.22293190060
1984 Cia das Letras,enjoei,outro titulo,A Revolucao dos Bichos,https://www.enjoei.com.br/p/livro-a-revolucao-dos-bichos-george-orwell-141145598
Duna capa dura Aleph,mercadolivre,outro volume,Messias de Duna (vol 2) 89.91 capa mole,https://www.mercadolivre.com.br/messias-de-duna-livro-2-de-herbert-frank-editora-aleph-capa-mole-em-portugus-2017/p/MLB24064739
Duna capa dura Aleph,mercadolivre,box,Box primeira trilogia,https://www.mercadolivre.com.br/box-duna-primeira-trilogia-de-herbert-frank-serie-duna-editorial-editora-aleph-ltda-capa-dura-em-portugus-2021/p/MLB19283147
Duna capa dura Aleph,amazon,box,Box primeira trilogia 189.98,https://www.amazon.com.br/Box-Duna-Primeira-Trilogia-Arrakis/dp/6586064414
Duna capa dura Aleph,amazon,box,Box segunda trilogia 215.35,https://www.amazon.com.br/Box-Duna-Segunda-Trilogia-Ecobag/dp/6586064422
Duna capa dura Aleph,amazon,audiobook,Edicao em audio,https://www.amazon.com.br/Duna-Cr%C3%B4nicas-Vol-1/dp/B0FK5T95SN
Duna capa dura Aleph,olx,outra edicao,Nova Fronteira 1975/76 usado 30.00,https://sp.olx.com.br/sao-paulo-e-regiao/livros-e-revistas/livro-duna-frank-herbert-1976-1451628551
Duna capa dura Aleph,olx,colecao completa,Duna completo 249.00 seminovo,https://pr.olx.com.br/regiao-de-maringa/livros-e-revistas/duna-completo-frank-herbert-aleph-1477578561
Duna capa dura Aleph,olx,box,Box primeira trilogia 170.00 e 180.00 (DF),https://df.olx.com.br/distrito-federal-e-regiao/livros-e-revistas/box-duna-primeira-trilogia-frank-herbert-1460071619
Duna capa dura Aleph,olx,box + poster,Box + poster 199.00,https://sp.olx.com.br/regiao-de-ribeirao-preto/livros-e-revistas/box-duna-primeira-trilogia-poster-1479256256
Duna capa dura Aleph,olx,colecao,Segunda trilogia completa 159.00,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/livros-e-revistas/duna-segunda-trilogia-1439471140
Duna capa dura Aleph,olx,box outra edicao,Box versao pocket 100.00,https://sp.olx.com.br/baixada-santista-e-litoral-sul/livros-e-revistas/box-duna-serie-de-frank-herbert-1438318043
Duna capa dura Aleph,enjoei,colecao,Colecao de 6 livros,https://www.enjoei.com.br/p/colecao-de-6-livros-duna-de-frank-herbert-44432020
Duna capa dura Aleph,enjoei,outra edicao,Nova Fronteira,https://www.enjoei.com.br/p/duna-frank-herbert-editora-nova-fronteira-96173996
